block_time,tribute,paidAmount,amountBought,tx_hash,action,price_per_token,diff
2023-04-17T22:30:50+00:00,80,3920,5765.128388643587,\xa571596c78d7cc6a693db839f2c844875db15e454db5a778b705e6de46bf2f35,Buy,0.6938266991381116,0.012000493273831448
2023-04-16T16:32:50+00:00,100,4900,7293.941380278234,\xf87f28c818a94fdfbe25136d2e5484cc68afa725584861e917a0d6dc4dc407f1,Buy,0.6855004365019,0.01436359183482361
2023-04-15T17:05:25+00:00,80,3920,5920.188272149046,\xba4f1221ba3071723200c170c4aca022d8470b0dc29c8283447ae975f4a981bd,Buy,0.6756541880293933,0.012122242242859457
2023-04-14T22:06:50+00:00,80,3920,5992.8348681421185,\xd95a349429bc6efb701dfd501d4d03ffc018e73ccd898b76641d621a6b1d5a0f,Buy,0.6674637442896985,0.013574849222377002
2023-04-14T22:04:30+00:00,80.6,3949.4,6120.871031008744,\xdcd3152d94c7bcd86b691f3008a7a5d29ac2042e0880df752e40c09b1366a5e0,Buy,0.6584030245995626,0.010333075692356326
2023-04-14T18:21:15+00:00,40,1960,3069.3691407854462,\x49e0532fb8a92577b11aa5420eaeba31f17829ef9de81097408805af6c4457cc,Buy,0.651599696310299,-0.3505309251211534
2023-03-20T02:53:45+00:00,3.1,151.9,176.13525465144951,\x46ef07c1465da9e0798d8cad52b365d5fd09508042b2c31c4a2ee49d8324ddd0,Buy,0.8800055406666107,-0.05324529675507236
2023-02-27T20:53:20+00:00,0.1,4.9,5.394548093987406,\x990d2998fcdcabae0c89ce08060ddc2ec5a3199f6fa3fe82b4399b75ec2c29ef,Buy,0.9268616968255123,-0.10118060563256744
2023-01-20T12:12:20+00:00,0.2,9.8,9.797753549952027,\x1dc506068d69962d69336f35ffa9625a2800842c953192adf2a34c94d586b667,Buy,1.0206421246479467,-0.010610911668763942
2023-01-13T09:29:05+00:00,0.11,5.39,5.332185107298572,\x6e6edde2b4fb56247362b5d27eaad1a0b9abe1438b40b2b87b3afb5d99df8924,Buy,1.0314720680780056,-0.04167375461204528
2022-12-28T20:25:20+00:00,0.3,14.7,13.960535105659114,\xffb3b0573bb324911a9981034b8c0fd45bbf950672da04ab45c1ad59e6c02647,Buy,1.0744573819322674,-0.027647164680249227
2022-12-19T17:46:00+00:00,0.76,37.24,34.41520606475931,\x4e6bdbbb97c9358b2df4e94121fdd5cc7e4216eefcc319e0a6a1880cd15878b4,Buy,1.1041630821124582,-0.018161753801132854
2022-12-14T21:09:45+00:00,0.2,9.8,8.895082869814416,\xda1ebd7371aa5e13cc71996bd1e50a98507bc5663603b30a8c6b9640b921c913,Buy,1.1242166201660846,-0.05297277936306632
2022-11-29T23:05:25+00:00,0.02,0.98,0.8447590520996157,\xb774fa0cabeba400726a5458ffcf48efd9075ba5f638287588827a5c5f939c44,Buy,1.1837694991424348,-0.0001302302905466505
2022-11-29T14:16:10+00:00,42,2058,1773.7630117368135,\x1f31b9de3d37fe701231c1bfc51494f3eecd2847df77398e2c1c4adfa80cf476,Buy,1.1839236617882485,-0.005203148264094978
2022-11-24T20:04:20+00:00,0.04,1.96,1.6805539351257452,\x7c6f4ef65ca32f3012250f95236a41733a68695817fbf8e49bac586eb8cd5433,Buy,1.190083792133903,-0.021598827414037732
2022-11-21T21:04:10+00:00,0.02,0.98,0.8225116797460084,\x1335cd55f0f5b2efcef65f19eaa2d5f1c16b9b75dd8c202f4c3fbfebffb1a849,Buy,1.2157882065684467,-0.12499309156050344
2022-10-17T19:03:20+00:00,0.08,3.92,2.924503931326667,\x5504b80a988932c945a77a17ad6ddd0d2afdb6f52dbfc891f6a4e38dc8ee6321,Buy,1.3677533331902367,-0.024446820089082253
2022-10-07T17:31:40+00:00,0.1,4.9,3.5683940273644006,\x8cafee186932d3abcfe50355d7f7e32959f4898df86e9fb86cc7f2f460e0c3e6,Buy,1.401190552852981,-0.008880119082458235
2022-10-04T23:22:15+00:00,0.02827268,1.38536132,1.0000005009647643,\xbf3957d153c4bb9221002314bc00e099b18ecba0bc6e4793099e0f8035063110,Buy,1.413633291819531,-0.0005308270851693002
2022-10-04T17:37:30+00:00,0.24,11.76,8.48426075129808,\xcf0e30e7efc0de45337d5d66ada5aec856340d41601fca68c1ab1b94c8ccfae2,Buy,1.4143836866593258,-0.03447418417964457
2022-09-20T15:05:50+00:00,0.02,0.98,0.6834600032435997,\x912ceefbc12bf1edb7eca7b08df5d7f7356abcf5b6f7a2c44a005fee790f5839,Buy,1.463143410373904,-0.0076103761396112656
2022-09-19T00:36:35+00:00,0.004,0.196,0.13565958021633187,\xd52da0ebf5dc3661ffd16bea3a6d23f5d3a656dd84a9e7fe878bd163cda49489,Buy,1.4742784820730432,0.007315375793348112
2022-09-16T16:28:35+00:00,400.01,19600.49,13666.271079222002,\x223f89cddd3bec47d756f3e56e8592f2d49dc008a14c283ee9723e29b3a7cf55,Buy,1.463493580952632,0.011958740539758105
2022-09-14T22:05:30+00:00,40,1960,1383.1334774877523,\xe27a31ecd60fe26bdb9db25e1558dd8fa4aac64a3c479b431d0a43e9c8d8e2d9,Buy,1.445992040936418,-0.04464035044867104
